Level,Discharge,Width,DeadStorage
0.00262920256258869,8.93999453752098,0.799091040984355,0
0.00276712592601317,9.4751366798879,0.842585454058329,0
0.00289439159974824,9.97218589339388,0.882789517471952,0
0.00299512600306579,10.3677508987174,0.914658243202753,0
0.00316163911842643,11.02559991675,0.967422484463697,0
0.00328359753634943,11.5104621260205,1.00613326540597,0
0.00333450372320757,11.7135832531054,1.02230707193778,0
0.00345652679016704,12.2021901233074,1.06111254695771,0
0.00348912397499022,12.3331204809012,1.0714875881912,0
0.00359340959773977,12.7531160337302,1.10470332838536,0
0.00365610121871854,13.0064060093861,1.12468812841901,0
0.00375885515948888,13.4228428464164,1.15747101754097,0
0.00384676225225182,13.7803512488712,1.18554321511224,0
0.00388532327968466,13.9375298778062,1.197864714032,0
0.00392977914460248,14.1190018575652,1.21207535831382,0
